question_id,question,options,answer,answer_index,cot_content,category,src
6549,"A healthy 4-year-old girl is brought for a well-child examination. A grade 2/6 systolic ejection murmur is heard along the upper left sternal border. S2 is widely split and does not vary with respiration. A soft mid-diastolic murmur is heard along the lower left sternal border. Examination shows no other abnormalities. Which of the following is the most likely diagnosis? 
Options:
 A. Transposition of the great arteries
B. Tricuspid atresia
C. Ventricular septal defect
D. Pulmonary stenosis
E. Mitral regurgitation
F. Mitral valve prolapse
G. Coarctation of the aorta
H. Atrial septal defect
I. Aortic stenosis
J. Tetralogy of Fallot","['Transposition of the great arteries' 'Tricuspid atresia'
 'Ventricular septal defect' 'Pulmonary stenosis' 'Mitral regurgitation'
 'Mitral valve prolapse' 'Coarctation of the aorta' 'Atrial septal defect'
 'Aortic stenosis' 'Tetralogy of Fallot']",H,7,,health,ori_mmlu-professional_medicine
11590,"At high pressures and temperatures a quite good equation of state is P(V - nb) = nRT, where b is a constant. Find (\partialV / \partialT)_P and (\partialV / \partialP)_T from this equation and hence dV in terms of P, T, (V - nb), dT and dP.
Options:
 A. dV= - [(V - nb) / P]dP - [(V - nb) / T]dT
B. dV= - [(V - nb) / P]dP + [(V - nb) / T]dT = (V - nb) [- (dP / P) + (dT / T)]
C. dV= [(V - nb) / P]dP - [(V - nb) / T]dT
D. dV= [(V - nb) / P]dP + [(V - nb) / T]dT","['dV= - [(V - nb) / P]dP - [(V - nb) / T]dT'
 'dV= - [(V - nb) / P]dP + [(V - nb) / T]dT = (V - nb) [- (dP / P) + (dT / T)]'
 'dV= [(V - nb) / P]dP - [(V - nb) / T]dT'
 'dV= [(V - nb) / P]dP + [(V - nb) / T]dT']",B,1,,engineering,stemez-Thermodynamics
5170,"What would be the most likely thing one would do with the compound MgSO4 7H2O?
Options:
 A. paint a house
B. clean a wound
C. soak ones feet
D. produce electricity
E. power a car
F. blow up a building
G. make soap
H. cook food
I. fertilize a lawn
J. purify water","['paint a house' 'clean a wound' 'soak ones feet' 'produce electricity'
 'power a car' 'blow up a building' 'make soap' 'cook food'
 'fertilize a lawn' 'purify water']",C,2,,other,ori_mmlu-miscellaneous
4861,"This question refers to the following information.
He contains all works and desires and all perfumes and all tastes. He enfolds the whole universe and in silence is loving to all. This is the Spirit that is in my heart, this is Brahman. To him I shall come when I go beyond this life, and to him will come he who has faith and doubts not.
—The Upanishads, India, c. 1000 BCE
Based on the quotation, which statement is true of the speaker's religion?
Options:
 A. The religion is focused on material wealth and success.
B. It believes in multiple universes.
C. It is a polytheistic religion.
D. It believes in reincarnation into various animal forms.
E. It emphasizes on the importance of community over individual faith.
F. There is an expectation of an afterlife.
G. Salvation is based on the correct completion of rituals.
H. The religion rejects the concept of a universal spirit.
I. The religion promotes atheism.","['The religion is focused on material wealth and success.'
 'It believes in multiple universes.' 'It is a polytheistic religion.'
 'It believes in reincarnation into various animal forms.'
 'It emphasizes on the importance of community over individual faith.'
 'There is an expectation of an afterlife.'
 'Salvation is based on the correct completion of rituals.'
 'The religion rejects the concept of a universal spirit.'
 'The religion promotes atheism.']",F,5,,history,ori_mmlu-high_school_world_history
9867,"A boy who is holding a suitcase stands in an elevator. The elevator has an acceleration A^\ding{217}, which may be directed upward (A^\ding{217}. positive) or downward (A^\ding{217} negative). What force does the suitcase exert on the boy's hand?
Options:
 A. A/(mg)
B. m(g + A)
C. m(A/g)
D. mg/A
E. m(A - g)
F. m(g - A)
G. m(2g + A)
H. mg + A
I. A/mg
J. m(g/A)","['A/(mg)' 'm(g + A)' 'm(A/g)' 'mg/A' 'm(A - g)' 'm(g - A)' 'm(2g + A)'
 'mg + A' 'A/mg' 'm(g/A)']",B,1,,physics,stemez-Mechanics
8114,"An experiment is to be conducted to determine whether taking fish oil capsules or garlic capsules has more of an effect on cholesterol levels. In past studies it was noted that daily exercise intensity (low, moderate, high) is associated with cholesterol level, but average sleep length (< 5, 5 - 8, > 8 hours) is not associated with cholesterol level. This experiment should be done
Options:
 A. by blocking on sleep length
B. by blocking on gender
C. by blocking on diet
D. by blocking on previous medical conditions
E. by blocking on capsule type
F. by blocking on cholesterol level
G. by blocking on lifestyle habits
H. by blocking on exercise intensity
I. by blocking on age
J. by blocking on weight","['by blocking on sleep length' 'by blocking on gender'
 'by blocking on diet' 'by blocking on previous medical conditions'
 'by blocking on capsule type' 'by blocking on cholesterol level'
 'by blocking on lifestyle habits' 'by blocking on exercise intensity'
 'by blocking on age' 'by blocking on weight']",H,7,,math,ori_mmlu-high_school_statistics
2903,"The four-legged land vertebrates (theamphibia, reptiles, birds and mammals) are placed together in thesuperclass Tetrapoda. Which animal was the firsttetrapodand what did it give rise to?
Options:
 A. The pterosaurs
B. The anapsids
C. The cotylosaurs
D. The sauropods
E. The ichthyosaurs
F. The amphibians
G. The therapsids
H. The labyrinthodonts
I. The synapsids
J. The reptiles","['The pterosaurs' 'The anapsids' 'The cotylosaurs' 'The sauropods'
 'The ichthyosaurs' 'The amphibians' 'The therapsids'
 'The labyrinthodonts' 'The synapsids' 'The reptiles']",H,7,,biology,stemez-Biology
5675,"Hormones are secreted:
Options:
 A. into the tissues surrounding the glands where they were manufactured
B. into the stomach and then are digested and travel throughout the body
C. into the brain for processing before being distributed
D. into the ovaries and testes
E. into the hair follicles and travel along the hair shafts
F. into the skin and absorbed through the pores
G. into the air and inhaled by the individual
H. directly into the bloodstream
I. into the saliva and are swallowed and digested
J. into the lymphatic system","['into the tissues surrounding the glands where they were manufactured'
 'into the stomach and then are digested and travel throughout the body'
 'into the brain for processing before being distributed'
 'into the ovaries and testes'
 'into the hair follicles and travel along the hair shafts'
 'into the skin and absorbed through the pores'
 'into the air and inhaled by the individual'
 'directly into the bloodstream'
 'into the saliva and are swallowed and digested'
 'into the lymphatic system']",H,7,,other,ori_mmlu-human_sexuality
1579,"A woman sued her former employer in state court, asserting age and sex discrimination claims under both state and federal law. The woman's attorney had recently been embarrassed in court by the judge to whom the case was assigned. Wishing to avoid difficulties with the judge, the woman's attorney promptly removed the case to federal court on the basis of federal-question jurisdiction. The employer's attorney has timely moved to remand. How is the federal court likely to proceed?
Options:
 A. Retain the case, because the employer's attorney did not provide sufficient reasons for remand.
B. Remand the entire case.
C. Retain the case to avoid the risk of bias and impropriety in having it proceed before a judge who has shown clear hostility toward the woman's attorney.
D. Retain the case, because the woman's attorney has a valid concern about possible bias in state court.
E. Retain the case, as federal courts have exclusive jurisdiction over federal claims.
F. Retain the case, as the employer's attorney has not objected to the removal.
G. Retain the case, because it was timely removed and the woman alleges federal claims.
H. Remand the state claims but keep the federal claims.","[""Retain the case, because the employer's attorney did not provide sufficient reasons for remand.""
 'Remand the entire case.'
 ""Retain the case to avoid the risk of bias and impropriety in having it proceed before a judge who has shown clear hostility toward the woman's attorney.""
 ""Retain the case, because the woman's attorney has a valid concern about possible bias in state court.""
 'Retain the case, as federal courts have exclusive jurisdiction over federal claims.'
 ""Retain the case, as the employer's attorney has not objected to the removal.""
 'Retain the case, because it was timely removed and the woman alleges federal claims.'
 'Remand the state claims but keep the federal claims.']",B,1,,law,ori_mmlu-professional_law
8952,"The polynomial $x^3 - Ax + 15$ has three real roots. Two of these roots sum to 5. What is |A|?
Options:
 A. 19.0
B. 17.0
C. 25.0
D. 23.0
E. 18.0
F. 20.0
G. 22.0
H. 24.0
I. 21.0
J. 26.0",['19.0' '17.0' '25.0' '23.0' '18.0' '20.0' '22.0' '24.0' '21.0' '26.0'],G,6,,math,theoremQA-Math
3446,"Mutation of homeotic cluster genes often results in which of the following developmental defects in Drosophila?
Options:
 A. Complete absence of segmentation
B. Hindrance in the development of the nervous system
C. Inability to undergo metamorphosis
D. Absence of a group of contiguous segments
E. Tumor formation in imaginal discs
F. Formation of extra segments
G. Polarity defects in every segment along the anterior-posterior axis
H. Transformation of one segment into another
I. Transformation of the posterior segment into the anterior
J. Inability to form imaginal discs","['Complete absence of segmentation'
 'Hindrance in the development of the nervous system'
 'Inability to undergo metamorphosis'
 'Absence of a group of contiguous segments'
 'Tumor formation in imaginal discs' 'Formation of extra segments'
 'Polarity defects in every segment along the anterior-posterior axis'
 'Transformation of one segment into another'
 'Transformation of the posterior segment into the anterior'
 'Inability to form imaginal discs']",H,7,,biology,ori_mmlu-college_biology
10447,"Which of the following decimal numbers has an exact representation in binary notation?
Options:
 A. 0.8
B. 0.3
C. 0.9
D. 0.2
E. 0.1
F. 0.7
G. 0.6
H. 0.5
I. 0.4",['0.8' '0.3' '0.9' '0.2' '0.1' '0.7' '0.6' '0.5' '0.4'],H,7,,computer science,ori_mmlu-college_computer_science
7340,"Suppose that the trade-unions are strong enough to bargain a 5% increase in nominal wages. How much do youexpect the prices will rise? In the U.S.A. productivity increase on average of 2% per year. How much are the workers better off ?
Options:
 A. 2%
B. 0%, if the wage increase is completely offset by an equal increase in productivity.
C. 7%, assuming a significant gap between wage increase and productivity growth leading to higher inflation.
D. 5%
E. 4%, considering other economic factors that might contribute to a price increase.
F. 2.5%, accounting for a scenario where the wage increase slightly outpaces the combined effect of productivity growth and other inflationary factors.
G. 3%
H. 6%, assuming prices rise more than the wage increase due to other inflationary pressures.
I. 1%
J. Workers are not better off at all; prices rise by 5%, negating the wage increase.","['2%'
 '0%, if the wage increase is completely offset by an equal increase in productivity.'
 '7%, assuming a significant gap between wage increase and productivity growth leading to higher inflation.'
 '5%'
 '4%, considering other economic factors that might contribute to a price increase.'
 '2.5%, accounting for a scenario where the wage increase slightly outpaces the combined effect of productivity growth and other inflationary factors.'
 '3%'
 '6%, assuming prices rise more than the wage increase due to other inflationary pressures.'
 '1%'
 'Workers are not better off at all; prices rise by 5%, negating the wage increase.']",G,6,,economics,stemez-Economics
4033,"Calculate ∆H for the reaction at 25°C. CO(g) + (1/2)O_2 (g) \rightarrow CO_2 (g)∆E = - 67.4Kcal.
Options:
 A. - 0.3 Kcal
B. 0 Kcal
C. - 67.7 Kcal
D. 67.7 Kcal
E. - 33.7 Kcal
F. 67.4 Kcal
G. 298 Kcal
H. - 67.4 Kcal
I. - 298 Kcal
J. - 94.2 Kcal","['- 0.3 Kcal' '0 Kcal' '- 67.7 Kcal' '67.7 Kcal' '- 33.7 Kcal' '67.4 Kcal'
 '298 Kcal' '- 67.4 Kcal' '- 298 Kcal' '- 94.2 Kcal']",C,2,,chemistry,stemez-Chemistry
7819,"Divide. 7,285 ÷ 4
Options:
 A. 1,821
B. 1,811 R1
C. 1,801
D. 1,811
E. 1,831 R1
F. 1,821 R2
G. 1,831
H. 1,801 R2
I. 1,801 R1
J. 1,821 R1","['1,821' '1,811 R1' '1,801' '1,811' '1,831 R1' '1,821 R2' '1,831'
 '1,801 R2' '1,801 R1' '1,821 R1']",J,9,,math,ori_mmlu-elementary_mathematics
3078,"What features enable the ferns to grow to a much largersize than the mosses?
Options:
 A. Ferns grow larger because they can perform photosynthesis more efficiently than mosses
B. Ferns grow larger due to higher nutrient content
C. Ferns grow larger due to a stronger stem
D. Ferns grow larger due to their ability to move to more fertile areas
E. Mosses are limited in size by their shorter life cycle compared to ferns
F. Ferns have a symbiotic relationship with fungi that allows them to grow larger
G. Because of the presence of an elaborate root system and a vascular system, the ferns are able to grow to a much larger size than are the mosses.
H. Ferns grow larger because they have larger leaves
I. Ferns grow larger due to the presence of growth-promoting bacteria in their rhizosphere
J. Ferns grow larger because they are more resistant to pests and diseases","['Ferns grow larger because they can perform photosynthesis more efficiently than mosses'
 'Ferns grow larger due to higher nutrient content'
 'Ferns grow larger due to a stronger stem'
 'Ferns grow larger due to their ability to move to more fertile areas'
 'Mosses are limited in size by their shorter life cycle compared to ferns'
 'Ferns have a symbiotic relationship with fungi that allows them to grow larger'
 'Because of the presence of an elaborate root system and a vascular system, the ferns are able to grow to a much larger size than are the mosses.'
 'Ferns grow larger because they have larger leaves'
 'Ferns grow larger due to the presence of growth-promoting bacteria in their rhizosphere'
 'Ferns grow larger because they are more resistant to pests and diseases']",G,6,,biology,stemez-Biology
9017,"If $f(x) = 2$ for all real numbers $x$, what is the value of $f(x + 2)$?
Options:
 A. 0
B. $x^2 + 2$
C. 4
D. $2x$
E. $x + 2$
F. Undefined
G. 1
H. $2x + 2$
I. 2
J. $4x$","['0' '$x^2 + 2$' '4' '$2x$' '$x + 2$' 'Undefined' '1' '$2x + 2$' '2'
 '$4x$']",I,8,,math,ori_mmlu-high_school_mathematics
9001,"A scientist studied the migration patterns of two types of whales. The humpback whales traveled 2,240 miles in 28 days. The gray whales traveled 2,368 miles in 32 days. If the humpback whales had traveled at the same rate for 32 days, how many more miles would they have traveled than the gray whales?
Options:
 A. 64
B. 408
C. 128
D. 320
E. 280
F. 96
G. 192
H. 160
I. 256
J. 224",['64' '408' '128' '320' '280' '96' '192' '160' '256' '224'],G,6,,math,ori_mmlu-elementary_mathematics
