task,decision_prompt,answer_type,answer
"Please determine the value range of the quantity of good 2 consumed by the consumer in the second year under the following circumstances: (a) His behavior is inconsistent (i.e., it does not satisfy the weak axiom). (b) His consumption bundle in the first year is revealed to be preferred over the consumption bundle in the second year. Assume his behavior satisfies the weak axiom. (c) His consumption bundle in the second year is revealed to be preferred over the consumption bundle in the first year. Assume his behavior satisfies the weak axiom.
Options:
A. （a）$y \in [70, 75]$ （b）y < 70 （c）y > 85
B. （a）$y \in [80, 85]$ （b）y < 80 （c）y > 85
C. （a）$y \in [75, 80]$ （b）y < 75 （c）y > 80
D. （a）$y \in [80, 85]$ （b）y < 75 （c）y > 80
E. （a）$y \in [70, 80]$ （b）y < 80 （c）y > 75
F. All other answers are incorrect","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,C
"To create a mixed compound fertilizer of 60 tons with a ratio of $N: P^{2} 0^{5}: K^{2} 0$ as $1: 1: 2.5$, how much urea (containing $46\%$ $N$), calcium superphosphate (containing $18\%$ $P^{2} 0^{5}$), and potassium sulfate (containing $50\%$ $K^{2} 0$) are needed?
Options:
A. 9.75t，27.00t，23.00t
B. 9.50t，28.00t，22.40t
C. All other answers are incorrect
D. 10.00t，26.00t，24.00t
E. 10.50t，25.85t，24.00t
F. 10.25t，26.18t，23.56t","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,F
"A sudden environmental change causes a recessive allele to become completely lethal. How many generations will it take for its frequency to decrease from $10^{-2}$ to $10^{-3}$?
Options:
A. 950
B. 850
C. All other answers are incorrect
D. 900
E. 800
F. 920","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,D
"What is the proportion of individuals with Down syndrome in the offspring of two individuals with 21 trisomy, assuming that individuals with $\mathbf{2 n + 2}$ are lethal?
Options:
A. 1:1
B. 2:1
C. 3:2
D. 5:3
E. 4:1
F. All other answers are incorrect","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,B
"The current genotype of an individual is BbDd. If backcrossing is applied for three consecutive generations, what is the homozygosity rate of the backcrossed progeny
Options:
A. 0.712
B. 0.7656
C. All other answers are incorrect
D. 0.7956
E. 0.815
F. 0.6356","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,B
"A true-breeding purple stem and notched leaf plant (AACC) is crossed with a true-breeding green stem and potato leaf plant (aacc), and the F2 results are as follows: purple stem with notched leaves: purple stem with potato leaves: green stem with notched leaves: green stem with potato leaves = 247: 90: 83: 34. Calculate the expected numbers of the 4 phenotypes in a total of 454 F2 plants.
Options:
A. 260.375: 80.125: 80.125: 33.375
B. All other answers are incorrect
C. 253.375: 83.125: 83.125: 30.375
D. 257.375: 82.125: 82.125: 32.375
E. 255.375: 85.125: 85.125: 28.375
F. 250.375: 88.125: 88.125: 27.375","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,E
"In a wheat population, susceptible plants (rr) account for $9\%$, while resistant plants (RR or Rr) make up  $91 \%$. Resistant plants can grow, flower, and bear fruit normally. However, seedlings of susceptible plants cannot survive. After three generations of random mating, what is the percentage of susceptible plants in this wheat population?
Options:
A. 0.0177
B. 0.0095
C. 0.0215
D. 0.0251
E. 0.03
F. All other answers are incorrect","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,C
"In rice, rice blast resistance (P) is dominant, and late maturity (L) is dominant, with linked inheritance and a crossover value of 2.4%. If a disease-resistant late-maturing variety is crossed with a susceptible early-maturing variety, and we aim to obtain a stable disease-resistant early-maturing line, how many plants need to be planted in F2 in order to obtain 10 plants of the stable type in F3?
Options:
A. 710000
B. All other answers are incorrect
C. 680000
D. 694445
E. 690000
F. 700000","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,D
"Find the sum of the series $\sum_{n=1}^{\infty} \frac{z^{n-1}}{\left(1-z^n\right)\left(1-z^{n+1}\right)}$, where $|z| \neq 1$.
Options:
A. All other answers are incorrect
B. $S(z)=\left\{ \begin{array}{l} \frac{1}{(1-z)},|z|<1 \\ \frac{1}{z(1-z)},|z|>1 \end{array} \right.$
C. $S(z)=\left\{ \begin{array}{l} \frac{1}{(1-z)^3},|z|<1 \\ \frac{1}{z(1-z)^3},|z|>1 \end{array} \right.$
D. $S(z)=\left\{ \begin{array}{l} \frac{1}{(1-z)^2.5},|z|<1 \\ \frac{1}{z(1-z)^2.5},|z|>1 \end{array} \right.$
E. $S(z)=\left\{ \begin{array}{l} \frac{2}{(1-z)^2},|z|<1 \\ \frac{2}{z(1-z)^2},|z|>1 \end{array} \right.$
F. $S(z)=\left\{ \begin{array}{l} \frac{1}{(1-z)^2},|z|<1 \\ \frac{1}{z(1-z)^2},|z|>1 \end{array} \right.$","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,F
"Calculate the integral, $\int_{-\infty}^{\infty} \frac{x^2 \, dx}{\left(x^2+1\right)\left(x^2-2x\cos\theta+1\right)}, \theta$ is a real number, and $\sin \theta \neq 0$.
Options:
A. $\frac{\pi}{2|\sin \theta|}$
B. $\frac{2\pi}{|\sin 2\theta|}$
C. $\frac{2\pi}{3|\sin \theta|}$
D. All other answers are incorrect
E. $\frac{\pi}{2|\cos \theta|}$
F. $\frac{\pi}{|\sin \theta|}$","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,A
"Calculate the integral, $\int_{-\infty}^{\infty} \frac{e^{p x}-e^{q x}}{1-e^x} d x, \quad 0<p<1,0<q<1 ;$
Options:
A. $\pi[\cot (p \pi)-\tan (q \pi)]$
B. $\pi[\cot (p \pi)-\cot (q \pi/2)]$
C. $2\pi[\cot (p \pi)-\cot (q \pi)]$
D. All other answers are incorrect
E. $\pi[\tan (p \pi)-\cot (q \pi)]$
F. $\pi[\cot (p \pi)-\cot (q \pi)]$","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,F
"Calculate the integral: $\int_{-\infty}^{\infty} \frac{\sin^2(ax)}{\left(x^2+b^2\right)\left(x^2+c^2\right)} dx, \quad a>0, b>0, c>0$
Options:
A. $\frac{\pi\left(b-c+c e^{-2 a b}-b e^{-2 a c}\right)}{2 b c\left(b^2-c^2\right)}$
B. $\frac{\pi\left(b-c+c e^{-a b}-b e^{-a c}\right)}{2 b c\left(b^2-c^2\right)}$
C. $\frac{\pi\left(c-b+c e^{-a b}-c e^{-a c}\right)}{2 b c\left(b^2-c^2\right)}$
D. All other answers are incorrect
E. $\frac{\pi\left(b-c-c e^{-2 a b}+b e^{-2 a c}\right)}{2 b c\left(c^2-b^2\right)}$
F. $\frac{\pi\left(b+c+c e^{-a b}-b e^{-a c}\right)}{b c\left(b^2+c^2\right)}$","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,A
"Solve the problem inside the sphere for $u$:$\begin{array}{l}\nabla^{2} u=r \sin \theta \cos \phi, \quad r<a, \left.u\right|_{r=a}=0,\left.\quad u\right|_{r=0}<\infty.\end{array}$.
Options:
A. $u=\frac{r\left(r^3-a^2\right)}{10} \sin \theta \cos \phi$
B. $u=\frac{r\left(r^3-a^3\right)}{10} \sin \theta \cos \phi$
C. $u=\frac{r\left(r^2-a^2\right)}{10} \sin \theta \cos \phi$
D. All other answers are incorrect
E. $u=\frac{r\left(r^2-a^3\right)}{10} \sin \theta \cos \phi$
F. $u=\frac{r\left(r^2-a^2\right)}{9} \sin \theta \cos \phi$","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,C
"Find the stable temperature distribution of a uniform material in the annular region $a<r<b$. The boundary temperatures of the region are fixed as: $\left.u\right|_{r=a}=\left\{\begin{array}{rl} V_{a}, & 0 \leq \phi<\pi \\ -V_{a}, & \pi \leq \phi<2 \pi \end{array}\right., \quad \left. u \right|_{r=b}=\left\{\begin{aligned} V_{b}, & 0 \leq \phi<\pi \\ -V_{b}, & \pi \leq \phi<2 \pi \end{aligned}\right.$.
Options:
A. $u(r, \phi)=\sum_{n \text { odd }}\left[\frac{4\left(a^{n+1} V_a-b^{n+1} V_b\right)}{\left(a^{2 n}-b^{2 n}\right) n \pi} r^n \sin (n \phi)+\frac{4\left(a^{-n+1} V_a-b^{-n+1} V_b\right)}{\left(a^{-2 n}-b^{-2 n}\right) n \pi} r^{-n} \sin (n \phi)\right]$
B. $u(r, \phi)=\sum_{n \text { odd }}\left[\frac{5\left(a^n V_a-b^n V_b\right)}{\left(a^{2 n}-b^{2 n}\right) n \pi} r^n \sin (n \phi)+\frac{5\left(a^{-n} V_a-b^{-n} V_b\right)}{\left(a^{-2 n}-b^{-2 n}\right) n \pi} r^{-n} \sin (n \phi)\right]$
C. All other answers are incorrect
D. $u(r, \phi)=\sum_{n \text { odd }}\left[\frac{4\left(a^n V_a-b^n V_b\right)}{\left(a^{2 n}-b^{2 n}\right) n \pi} r^{n+1} \sin (n \phi)+\frac{4\left(a^{-n} V_a-b^{-n} V_b\right)}{\left(a^{-2 n}-b^{-2 n}\right) n \pi} r^{-n+1} \sin (n \phi)\right]$
E. $u(r, \phi)=\sum_{n \text { odd }}\left[\frac{3\left(a^n V_a-b^n V_b\right)}{\left(a^{2 n}-b^{2 n}\right) n \pi} r^n \sin (n \phi)+\frac{3\left(a^{-n} V_a-b^{-n} V_b\right)}{\left(a^{-2 n}-b^{-2 n}\right) n \pi} r^{-n} \sin (n \phi)\right]$
F. $u(r, \phi)=\sum_{n \text { odd }}\left[\frac{4\left(a^n V_a-b^n V_b\right)}{\left(a^{2 n}-b^{2 n}\right) n \pi} r^n \sin (n \phi)+\frac{4\left(a^{-n} V_a-b^{-n} V_b\right)}{\left(a^{-2 n}-b^{-2 n}\right) n \pi} r^{-n} \sin (n \phi)\right]$","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,F
"Solve the wave equation for a semi-infinite string $(x>0)$ with a fixed endpoint under external force, where the external force is proportional to $x$ and decays exponentially over time $t$: \n$\n\\begin{array}{l}\n\\frac{\\partial^{2} u}{\\partial t^{2}}-\\frac{\\partial^{2} u}{\\partial x^{2}}=x e^{-b t}, \\quad x>0, \\quad t>0 \\\\\n\\left.u\\right|_{x=0}=0 \\\\\n\\left.u\\right|_{t=0}=0,\\left.\\quad \\frac{\\partial u}{\\partial t}\\right|_{t=0}=0\n\\end{array}\n$
Options:
A. $u(x, t)=\frac{2x}{b}\left[t+\frac{1}{b}\left(e^{-b t}-1\right)\right], \quad(x>0, t>0)$
B. All other answers are incorrect
C. $u(x, t)=\frac{x}{b}\left[t-\frac{1}{b}\left(e^{-b t}-1\right)\right], \quad(x>0, t>0)$
D. $u(x, t)=\frac{x}{b}\left[t+\frac{1.1}{b}\left(e^{-b t}-1\right)\right], \quad(x>0, t>0)$
E. $u(x, t)=\frac{x}{2b}\left[t+\frac{1}{b}\left(e^{-b t}-1\right)\right], \quad(x>0, t>0)$
F. $u(x, t)=\frac{x}{b}\left[t+\frac{1}{b}\left(e^{-b t}-1\right)\right], \quad(x>0, t>0)$","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,F
"Solve the string vibration problem: $\n\begin{array}{l}\n\frac{\partial^{2} u}{\partial t^{2}}-4 \frac{\partial^{2} u}{\partial x^{2}}=0, \quad t>0, \quad-2 t<x<2 t, \\ \left.u\right|_{x=2 t}=A \sin x,\left.\quad u\right|_{x=-2 t}=B \sin x\end{array}\n$, where $A, B$ are constants.
Options:
A. $A \sin \frac{x+2 t}{2.5} + B \sin \frac{x-2 t}{2.5}$
B. $A \sin \frac{x+2 t}{2} + B \sin \frac{x-2 t}{2}$
C. $A \sin \frac{x+2 t}{1.5} + B \sin \frac{x-2 t}{1.5}$
D. $A \sin \frac{x+3 t}{2} + B \sin \frac{x-3 t}{2}$
E. All other answers are incorrect
F. $A \sin \frac{x+2 t}{3} + B \sin \frac{x-2 t}{3}$","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,B
"Solve the Green's function $G\left(x, y, z ; x^{\prime}, y^{\prime}, z^{\prime}\right)$ for the upper half-space $(z>0)$ :\n$\n\begin{array}{l} a^{2} \frac{\partial^{2} G}{\partial x^{2}}+b^{2} \frac{\partial^{2} G}{\partial y^{2}}+c^{2} \frac{\partial^{2} G}{\partial z^{2}}=-\delta\left(x-x^{\prime}\right) \delta\left(y-y^{\prime}\right) \delta\left(z-z^{\prime}\right), \quad z>0, \quad z^{\prime}>0 \\\n\left.G\left(x, y, z ; x^{\prime}, y^{\prime}, z^{\prime}\right)\right|_{z=0}=0\n\end{array}\n$, where $a,b,c > 0$ are constants. $ a, b, c $ are not equal, reflecting the anisotropy of space.
Options:
A. $\frac{1}{4 \pi a b c}\left[\frac{1}{\sqrt{\left(\frac{x-x^{\prime}}{a}\right)^2+\left(\frac{y-y^{\prime}}{b}\right)^2+\left(\frac{z+z^{\prime}}{c}\right)^2}}-\frac{1}{\sqrt{\left(\frac{x-x^{\prime}}{a}\right)^2+\left(\frac{y+y^{\prime}}{b}\right)^2+\left(\frac{z-z^{\prime}}{c}\right)^2}}\right]$
B. $\frac{1}{4 \pi a b c}\left[\frac{1}{\sqrt{\left(\frac{x-x^{\prime}}{a}\right)^2+\left(\frac{y-y^{\prime}}{b}\right)^2+\left(\frac{2z-z^{\prime}}{c}\right)^2}}-\frac{1}{\sqrt{\left(\frac{x-x^{\prime}}{a}\right)^2+\left(\frac{y-y^{\prime}}{b}\right)^2+\left(\frac{z+z^{\prime}}{c}\right)^2}}\right]$
C. $\frac{1}{4 \pi a b c}\left[\frac{1}{\sqrt{\left(\frac{x-x^{\prime}}{a}\right)^2+\left(\frac{y-y^{\prime}}{b}\right)^2+\left(\frac{z-z^{\prime}}{2c}\right)^2}}-\frac{1}{\sqrt{\left(\frac{x-x^{\prime}}{a}\right)^2+\left(\frac{y-y^{\prime}}{b}\right)^2+\left(\frac{z+z^{\prime}}{c}\right)^2}}\right]$
D. All other answers are incorrect
E. $\frac{1}{2 \pi a b c}\left[\frac{1}{\sqrt{\left(\frac{x-x^{\prime}}{a}\right)^2+\left(\frac{y-y^{\prime}}{b}\right)^2+\left(\frac{z-z^{\prime}}{c}\right)^2}}-\frac{1}{\sqrt{\left(\frac{x-x^{\prime}}{a}\right)^2+\left(\frac{y+y^{\prime}}{b}\right)^2+\left(\frac{z+z^{\prime}}{c}\right)^2}}\right]$
F. $\frac{1}{4 \pi a b c}\left[\frac{1}{\sqrt{\left(\frac{x-x^{\prime}}{a}\right)^2+\left(\frac{y-y^{\prime}}{b}\right)^2+\left(\frac{z-z^{\prime}}{c}\right)^2}}-\frac{1}{\sqrt{\left(\frac{x+x^{\prime}}{a}\right)^2+\left(\frac{y+y^{\prime}}{b}\right)^2+\left(\frac{z-z^{\prime}}{c}\right)^2}}\right]$","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,A
